image,r,seed,wmax,n_cand,tpr,fpr,it,t_amf,t_solve,psnr,snr,mae,psnr_n,converged,gap,psnr_noisy,psnr_med3,psnr_med7,psnr_amf,snr_amf
mandril_gray.tif,0.3,2026,7,78587,1.0,5.4478693383017906e-06,64,0.7743541000236291,2.085459499998251,33.72003910825961,28.16626209860138,1.86326525033902,28.488146990967813,True,0.002580275609346927,10.850920195472195,22.854502781035148,22.430088258543407,29.564060045191916,24.01028303553368
mandril_gray.tif,0.3,7,7,78100,1.0,0.0,48,0.7747162999876309,1.5714038999867626,33.71708654800494,28.16330953834671,1.860263545818139,28.45819766726133,True,0.005940586842370976,10.85936775812935,22.836289437889743,22.445491408190776,29.522837243768585,23.969060234110348
mandril_gray.tif,0.3,42,7,78652,0.9999872857651426,5.449828875373313e-06,72,1.1800863999815192,2.1330484000209253,33.82284761131791,28.269070601659678,1.8476384237035064,28.59538728761774,True,0.0002957965475047786,10.834202704890608,22.789103296691792,22.435023497752855,29.580223411856274,24.02644640219804
mandril_gray.tif,0.5,2026,9,130902,1.0,7.619453989927082e-06,59,1.4169825999997556,3.2955625999893527,29.74333297975175,24.189555970093515,3.8603720633247316,26.727396580389623,True,0.005427744710843285,8.63207736111892,15.263155576424563,21.901426855990355,26.159926856780487,20.606149847122257
mandril_gray.tif,0.5,7,9,131013,1.0,0.0,64,1.4616674999997485,3.5890939999953844,29.708273801783132,24.154496792124895,3.870086654230919,26.696018496697956,True,0.009047604228641148,8.618950073375647,15.238682452441594,21.925840650565082,26.17590677108776,20.622129761429523
mandril_gray.tif,0.5,42,9,131310,1.0,7.643214736118011e-06,59,1.401931300002616,3.3691988000064157,29.69987706353837,24.146100053880133,3.8768603920362543,26.697455857349517,True,0.007529061672272519,8.608241097704802,15.187813356856383,21.907521630471752,26.118596017084204,20.564819007425967
peppers_gray.tif,0.3,2026,7,78612,1.0,0.00014164460279584654,82,1.1094995000166818,2.7363881999917794,37.044529054004244,31.10194967650543,1.4003442406795634,31.814018289283275,True,0.008445004921725285,10.527965327424907,23.89208442458749,28.87909914904782,32.902080436387976,26.95950105888916
peppers_gray.tif,0.3,7,7,78122,1.0,0.00011953663254439156,78,0.7102391000080388,2.5595231999759562,36.986970946606554,31.044391569107745,1.392007780134168,31.72930525832816,True,0.008077022778380183,10.540733847634513,23.692288163377768,28.83147284929443,32.7822020436395,26.839622666140688
peppers_gray.tif,0.3,42,7,78675,0.9999872857651426,0.00013079589300895951,99,1.0725985000026412,3.2698449000017717,36.96941289134542,31.026833513846604,1.4000182485880144,31.782287873024938,True,0.007961437795216852,10.52416339951996,23.754831063142664,28.836234106353547,32.885288387037754,26.942709009538937
peppers_gray.tif,0.5,2026,9,130919,1.0,0.00013715017181868748,92,1.3035468000161927,5.348541600018507,34.16286958595003,28.220290208451214,2.4402619304696413,31.147497160157837,True,0.00844533384028523,8.307756694322725,15.26534497522006,27.208809559062765,29.953599345398658,24.011019967899845
peppers_gray.tif,0.5,7,9,131025,1.0,9.151154189322128e-05,83,1.3144219999958295,4.782495399995241,34.175085394784254,28.23250601728544,2.4374581119019636,31.16322785901395,True,0.006341449682537359,8.291762717585208,15.195157818825207,27.211179401204397,29.88229134991029,23.93971197241148
peppers_gray.tif,0.5,42,9,131327,1.0,0.0001375778652501242,102,1.369716100016376,5.867122399999062,34.212150508629655,28.26957113113084,2.4374359964668133,31.210291523773112,True,0.009160835506278886,8.2967271244478,15.200587357604253,27.29503152113162,30.033201416868728,24.09062203936991
pirate.tif,0.3,2026,7,78586,1.0,0.0,101,0.7740435999876354,3.308015799993882,35.46189278139569,29.013862924069777,1.4135417109505313,30.229945400861236,True,0.008424369517541663,10.639226785451765,23.42487298662146,26.353928246052128,31.410950675059127,24.962920817733213
pirate.tif,0.3,7,7,78100,1.0,0.0,95,0.7728904999967199,3.295343000005232,35.657994352889304,29.20996449556339,1.3905466694409667,30.399105472145692,True,0.007665756417566172,10.66179842363736,23.377510475630817,26.360819342679328,31.474949400733223,25.02691954340731
