image,r,seed,potential,alpha,beta,wmax,edge_frac,it,t,psnr,snr,mae,ssim,edge_psnr,psnr_n,converged
lena_gray_512.tif,0.5,2026,huber,30.0,640.0,9,0.3325462341308594,746,45.42339609999908,34.484739155699636,28.828245148403944,2.074088906305005,0.9408259454261798,30.379136096371568,31.57712398067533,True
lena_gray_512.tif,0.5,7,sqrt,300.0,640.0,9,0.3325462341308594,113,5.688579500012565,34.59780872103357,28.941314713737878,2.0459272926116245,0.9412513839844838,30.510277646133698,31.6919729707396,True
lena_gray_512.tif,0.5,7,power,1.6,80.0,9,0.3325462341308594,1500,145.3730945000134,34.582545548250025,28.926051540954333,2.0519694332205307,0.9411811507618861,30.49319915240329,31.676709797956054,False
lena_gray_512.tif,0.5,7,logcosh,0.1,640.0,9,0.3325462341308594,909,86.6339350999915,34.490027796536666,28.833533789240974,2.039182544393576,0.9408970369251415,30.384008238365794,31.584192046242695,True
lena_gray_512.tif,0.5,7,log1,3.0,640.0,9,0.3325462341308594,597,48.32395029999316,34.51215177409474,28.855657766799045,2.0292102740442752,0.940377940404481,30.41572050578955,31.606316023800765,True
lena_gray_512.tif,0.5,7,huber,30.0,640.0,9,0.3325462341308594,654,39.472720399993705,34.49813193322147,28.84163792592578,2.0786059207316114,0.9409674429376462,30.39439451787434,31.5922961829275,True
cameraman.tif,0.3,2026,sqrt,300.0,40.0,7,0.3208160400390625,67,2.2100319000019226,38.97873305320226,33.36229486776532,0.780522410460228,0.9877034300332941,34.228465096198015,34.31985396353339,True
cameraman.tif,0.3,2026,power,1.4,5.0,7,0.3208160400390625,1500,96.13752759998897,39.00059964855599,33.38416146311905,0.7745261812890343,0.9874517880715149,34.260178139934,34.34172055888711,False
cameraman.tif,0.3,2026,logcosh,0.1,640.0,7,0.3208160400390625,772,49.60443950002082,38.81670382385191,33.200265638414976,0.7757627170675621,0.9875971208300348,34.05938432050293,34.157824734183045,True
cameraman.tif,0.3,2026,log1,3.0,640.0,7,0.3208160400390625,477,26.284763200004818,38.98424856728172,33.36781038184478,0.7636035860197044,0.9874339377702332,34.23968892428853,34.325369477612846,True
