method,it,t,rel,obj,tp,fp,conv,it_to_target,t_to_target
CG-HS+,173,2.0707660999905784,0.22760663284638122,6.835690762827079,160,8,True,nan,nan
CG-DY,1095,22.503736500017112,0.22786566368583552,6.835768047822734,160,7,True,nan,nan
CG-PRP+续延,164,2.761541000014404,0.22654717970841173,6.803106073439899,160,7,True,120,1.635434299998451
CG-PRP+续延+debias,164,2.761541000014404,0.028206691268988292,7.566599995309374,160,5,True,120,1.635434299998451
GPSR-BB,26,0.143432999990182,0.2353012666510286,7.161273416906235,160,3,True,26,0.143432999990182
GPSR-BB+debias,27,0.1429022999946028,0.02399688507775259,8.030111086435934,160,2,True,26,0.1429022999946028
CG-PRP+,172,2.5725929000182077,0.24179836997705947,7.196369971184513,160,5,True,nan,nan
CG-PRP无截断,172,2.344064300006721,0.24179836997705947,7.196369971184513,160,5,True,nan,nan
CG-FR,1015,21.275307200005045,0.24087922686691707,7.196450911290857,160,5,True,nan,nan
CG-HS+,174,2.4024922999960836,0.241604404510944,7.1963562681091116,160,5,True,nan,nan
CG-DY,1048,22.208132300002035,0.2412545877763061,7.196505421646658,160,5,True,nan,nan
CG-PRP+续延,160,2.6182499999995343,0.2413537135547027,7.16194881384284,160,5,True,119,1.7355437999940477
CG-PRP+续延+debias,160,2.6182499999995343,0.025813458580882374,8.037845805772239,160,2,True,119,1.7355437999940477
GPSR-BB,33,0.17474730001413263,0.24109850633989752,6.444073078631536,160,14,True,33,0.17474730001413263
GPSR-BB+debias,34,0.1742519999970682,0.028988637795003127,7.211945861938196,160,5,True,33,0.1742519999970682
CG-PRP+,171,2.400806699995883,0.25081628793687516,6.476681723658773,160,16,True,nan,nan
CG-PRP无截断,171,2.55098870000802,0.25081628793687516,6.476681723658773,160,16,True,nan,nan
CG-FR,1099,24.323945699987235,0.24526377473649094,6.476208175714684,160,13,True,nan,nan
CG-HS+,172,2.599773300025845,0.248316321430768,6.476376609813048,160,15,True,nan,nan
CG-DY,1018,21.927688199997647,0.24423565629627006,6.476099724662138,160,12,True,nan,nan
CG-PRP+续延,188,3.368998099991586,0.24689401102693417,6.444549356883218,160,16,True,127,1.9950186000205576
CG-PRP+续延+debias,188,3.368998099991586,0.030632984084745365,7.223307338523702,160,5,True,127,1.9950186000205576
